ra,dec,parallax,phot_g_mean_flux,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_mag,phot_bp_rp_excess_factor,radial_velocity,phot_variable_flag,classprob_dsc_combmod_quasar,classprob_dsc_combmod_galaxy,classprob_dsc_combmod_star,teff_gspphot,logg_gspphot,mh_gspphot,distance_gspphot,azero_gspphot,ag_gspphot
346.8475278961681,45.93555199566871,0.7520061261557758,3658.646651419445,16.779066,3989.1866037830073,16.33633,8765.425257739524,14.890963,3.4861557,,NOT_AVAILABLE,9.3843864E-15,1.0,9.178526E-10,,,,,,
338.6208561402692,42.14078752921503,0.855104911337791,6803.009226219672,16.105614,25311.764530157143,14.330236,23986.102643848437,13.7979965,7.2464795,,NOT_AVAILABLE,5.5619235E-5,0.999922,7.207717E-8,,,,,,
104.53358299346007,12.4555356323268,1.0877897887305061,7197.749959807261,16.044374,5972.0157797227785,15.89824,6786.677567424707,15.168753,1.7725947,,NOT_AVAILABLE,0.014810221,0.9842125,1.4843582E-5,,,,,,
206.42430198122025,-49.68082170996057,0.5237130124642975,7033.76262341185,16.069397,7234.624119178666,15.690002,8825.227055608086,14.883581,2.2832518,,NOT_AVAILABLE,1.00712336E-4,0.99989665,7.134438E-8,,,,,,
357.4523171037051,56.57497473950843,0.8827389574237057,18824.988404387364,15.00053,18098.447157756877,14.694439,28733.370064715335,13.601929,2.4877474,,NOT_AVAILABLE,3.7527137E-4,0.99962425,5.233394E-7,,,,,,
238.12704202727258,-68.51390415589262,0.39153838864950014,10342.457174922822,15.650807,10595.931792511152,15.275694,13613.977865679504,14.412933,2.3408277,,NOT_AVAILABLE,0.035590492,0.96437037,3.8778948E-5,,,,,,
9.78978833719234,52.10674333137776,0.3583365023194347,27879.129208058213,14.574169,37849.469680176364,13.893393,37967.34327374321,13.29937,2.719483,-16.447754,NOT_AVAILABLE,0.023885602,0.9752608,2.5054323E-5,,,,,,
273.7661280260038,-26.934589297160148,0.31971192744341315,9690.785335665174,15.72147,7556.212409183759,15.642782,16066.988558502806,14.233059,2.4376972,,NOT_AVAILABLE,1.3368592E-7,0.9986446,1.7054944E-8,,,,,,
273.79064351541854,-27.2061654487171,-1.631329137829025,5036.1161323700835,16.432127,4817.027618835713,16.131594,12364.257469240427,14.517475,3.4116142,,NOT_AVAILABLE,1.3194735E-7,0.99865437,1.686884E-8,,,,,,
273.5754618717992,-27.175570193209577,0.1258512380090005,3941.0007122601496,16.69835,3393.0113126848473,16.51208,7522.094809671636,15.057049,2.769628,,NOT_AVAILABLE,2.577061E-13,1.0,2.5257814E-8,,,,,,
272.9477377833669,-27.181898061462523,0.9037698793113219,3911.49029195234,16.70651,3650.270896621295,16.43273,8140.412896487906,14.971279,3.0143712,,NOT_AVAILABLE,2.4367047E-14,1.0,1.1487784E-9,,,,,,
